Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      3.84     0.00     2032     0.00     0.00  Newproccon_67046
  0.00      3.84     0.00     2002     0.00     0.00  Joinpath_16221
  0.00      3.84     0.00     1986     0.00     0.00  Transformcontinue_126215
  0.00      3.84     0.00     1946     0.00     0.00  Gettypename_104312
  0.00      3.84     0.00     1901     0.00     0.00  Unaryexpr_107150
  0.00      3.84     0.00     1866     0.00     0.00  Isobjectsubtype_82902
  0.00      3.84     0.00     1830     0.00     0.00  Adddeclat_68032
  0.00      3.84     0.00     1830     0.00     0.00  Symtabadduniqueat_36150
  0.00      3.84     0.00     1652     0.00     0.00  Parsevariable_47755
  0.00      3.84     0.00     1640     0.00     0.00  Equalgenericparams_78009
  0.00      3.84     0.00     1626     0.00     0.00  Isconstexpr_57016
  0.00      3.84     0.00     1593     0.00     0.00  Binaryarithoverflow_107235
  0.00      3.84     0.00     1583     0.00     0.00  Genaddr_107359
  0.00      3.84     0.00     1579     0.00     0.00  Setms_88619
  0.00      3.84     0.00     1553     0.00     0.00  Getcharacter_45672
  0.00      3.84     0.00     1524     0.00     0.00  Changetype_87143
  0.00      3.84     0.00     1513     0.00     0.00  Unaryarith_107294
  0.00      3.84     0.00     1504     0.00     0.00  Canformacyclenode_58891
  0.00      3.84     0.00     1482     0.00     0.00  Isobjectwithtypefieldpredicate_58752
  0.00      3.84     0.00     1478     0.00     0.00  Binarystmt_106895
  0.00      3.84     0.00     1465     0.00     0.00  Makerangetype_67082
  0.00      3.84     0.00     1465     0.00     0.00  Semarrayconstr_87316
  0.00      3.84     0.00     1429     0.00     0.00  Makevartype_67069
  0.00      3.84     0.00     1413     0.00     0.00  Getforwardstructformat_104720
  0.00      3.84     0.00     1308     0.00     0.00  Whichkeyword_41530
  0.00      3.84     0.00     1240     0.00     0.00  Genrecordfieldsaux_104807
  0.00      3.84     0.00     1240     0.00     0.00  Getrecorddesc_105003
  0.00      3.84     0.00     1240     0.00     0.00  Getrecordfields_104996
  0.00      3.84     0.00     1222     0.00     0.00  Searchtypenodeforaux_58607
  0.00      3.84     0.00     1207     0.00     0.00  Skipgenericrange_58083
  0.00      3.84     0.00     1197     0.00     0.00  Semvartype_84335
  0.00      3.84     0.00     1145     0.00     0.00  Enumhaswholes_58074
  0.00      3.84     0.00     1133     0.00     0.00  Semvar_93117
  0.00      3.84     0.00     1100     0.00     0.00  Semanyref_84316
  0.00      3.84     0.00     1091     0.00     0.00  Finishtrystmt_111873
  0.00      3.84     0.00     1084     0.00     0.00  Parsetypedesck_47284
  0.00      3.84     0.00     1057     0.00     0.00  Gencast_109656
  0.00      3.84     0.00     1016     0.00     0.00  Parsetypedesckaux_47639
  0.00      3.84     0.00      997     0.00     0.00  Getescapedchar_45629
  0.00      3.84     0.00      934     0.00     0.00  Genvarprototype_106317
  0.00      3.84     0.00      934     0.00     0.00  Semincsucc_88242
  0.00      3.84     0.00      893     0.00     0.00  Canformacycle_58110
  0.00      3.84     0.00      893     0.00     0.00  Genwhilestmt_112231
  0.00      3.84     0.00      891     0.00     0.00  Gettypeforward_104723
  0.00      3.84     0.00      891     0.00     0.00  Pushtype_105095
  0.00      3.84     0.00      885     0.00     0.00  Gentypeinfo_105302
  0.00      3.84     0.00      885     0.00     0.00  Iitableget_36242
  0.00      3.84     0.00      836     0.00     0.00  Parsepragma_47444
